Image,Title,Rating,Price,Result_Type
https://m.media-amazon.com/images/I/71zFrQvHTOL._AC_UY218_.jpg,"Gooyo 2011A Battery Operated Educational Learning Laptop Toy with LED Display and Music Effect | Babies/Girls/Boys/Toddlers | Blue Color, Power Source: 3xAA Battery (Not Included)",3.8 out of 5 stars,366,Organic
https://m.media-amazon.com/images/I/81LbQEPiFnL._AC_UY218_.jpg,"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue",2.8 out of 5 stars,"19,999",Organic
https://m.media-amazon.com/images/I/616BhYEGRHL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 5 Ryzen 7 7735HS (16GB RAM/512GB SSD/Integrated AMD Radeon 680M Graphics/WUXGA IPS Display/13.3"" (33.7cm)/Windows 11/Office Home 2024/Backlit KB/Grey/1.15Kg), 83J2000HIN Laptop",3.6 out of 5 stars,"62,490",Ad
https://m.media-amazon.com/images/I/71D9HSayVSL._AC_UY218_.jpg,"Lenovo Ideapad Slim 3 13Th Gen Intel Core I5-13420H 15.3""(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/3 Mon. Game Pass/Grey/1.6Kg) 83K100C6IN",4.7 out of 5 stars,"57,990",Ad
https://m.media-amazon.com/images/I/71JcEk00fqL._AC_UY218_.jpg,"HP 15, AMD Ryzen 3 7320U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc0500AU, FHD Camera w/Privacy Shutter Laptop",4.0 out of 5 stars,"30,990",Organic
https://m.media-amazon.com/images/I/61PL9x1X8aL._AC_UY218_.jpg,"HP Laptop 14, AMD Ryzen 5 7520U, 14-inch (35.6 cm), FHD, 8GB LPDDR5, 512GB SSD, AMD Radeon Graphics, FHD Camera w/Privacy Shutter, Backlit KB (Win 11, MSO 2021, Silver, 1.4 kg), em0026AU",4.2 out of 5 stars,"41,000",Organic
https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i5-1334U Laptop (12GB DDR4,512GB SSD) Anti-Glare,Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/Privacy Shutter, fd0575TU",3.8 out of 5 stars,"49,280",Organic
https://m.media-amazon.com/images/I/71yAQOj0FTL._AC_UY218_.jpg,"HP Victus, Intel Core i7, 13th Gen-13620H, 6 GB RTX 3050 Gaming Laptop, (16GB DDR4, 512GB SSD) 144Hz,300 nits, IPS, 15.6inch(39.6cm) Win 11, M365* Office24, Blue,2.29kg, Backlit,fa2077tx",4.2 out of 5 stars,"79,990",Organic
https://m.media-amazon.com/images/I/61lpgBhZXgL._AC_UY218_.jpg,"acer Professional 14[New Launch], 13th Gen Intel Core i7-1355U Turbo Boost, 32GB DDR4, 1TB SSD, Win11 Pro, MSO21, 14inch FHD Laptop, 3 Year Warranty, 1 Year Anti Virus, Fingerprint, Backlit KB",3.9 out of 5 stars,"72,650",Organic
https://m.media-amazon.com/images/I/71d44FdTMVL._AC_UY218_.jpg,"HP Omen, 14th Gen Intel Core i7-14700HX, 8GB RTX 4070 (16GB DDR5, 1TB SSD) 165Hz, 300nits, IPS, FHD, 16.1""/40.9cm, Win11, M365* Office 24, Meteor Silver, 2.31Kg, RGB Backlit, ae0003TX, Gaming Laptop",3.5 out of 5 stars,"1,27,990",Organic
https://m.media-amazon.com/images/I/81atbNHvlaL._AC_UY218_.jpg,"ASUS TUF F16,14th Gen,Intel Core i7 14650HX,Gaming Laptop(RTX 5070-8GB/115W TGP/32GB/1TB /2.5K QHD+/16""/165Hz/90WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Jaeger Gray/2.2 Kg)FX688JPR-QT043WS",4.3 out of 5 stars,"1,69,990",Organic
https://m.media-amazon.com/images/I/61ZejdSL77L._AC_UY218_.jpg,"EDNITA Mini Laptop Stand for Desk | Portable Metal PC Desk Stand, Aluminium Cooling Pad Mini Clip Compatible with MacBook Apple Laptop, Lenovo, Dell, Hp, Acer & Other Laptops Pack of-2 (Silver)",4.3 out of 5 stars,197,Organic
https://m.media-amazon.com/images/I/81leoJuYYaL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",4.2 out of 5 stars,"47,400",Ad
https://m.media-amazon.com/images/I/61CHy-sShhL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 1 AMD Ryzen 7 5700U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1 Year Warranty + 1 Year ADP/Cloud Grey/1.6Kg), 82R400EFIN",3.8 out of 5 stars,"41,899",Ad
